Row_Id,Date of Update,Tax Year,County,Number of Returns,Total Number of Exemptions (thousands of dollars),Total Adjusted Gross Income (thousands of dollars),Total Oregon Adjustments: Additions (thousands of dollars),Total Oregon Adjustments: Federal Tax Subtraction (thousands of dollars),Total Oregon Adjustments: Other Subtractions (thousands of dollars),Total Deductions (thousands of dollars),Total Taxable Income (thousands of dollars),Total Gross Tax (thousands of dollars),Total Credits (thousands of dollars),Total Net Tax (thousands of dollars),Average Number of Exemptions,Average Adjusted Gross Income (dollars),Average Oregon Adjustments: Additions (dollars),Average Oregon Adjustments: Federal Tax Subtraction (dollars),Average Oregon Adjustments: Other Subtractions (dollars),Average Deductions (dollars),Average Taxable Income (dollars),Average Gross Tax (dollars),Average Credits (dollars),Average Net Tax (dollars),Tax as Percent of AGI (%),Tax as Percent of Taxable Income (%),Return Type: Single (Number),Return Type: Single (%),Return Type: Joint (Number),Return Type: Joint  (%),Return Type: Separate (Number),Return Type: Separate (%),Return Type: Head Household (Number),Return Type: Head Household (%),Return Type: Itemized (Number),Return Type: Itemized (%),"Return Type: 
Full-Year 
(Number)","Return Type: 
Full-Year 
(%)",Return Type: Part-Year (Number),Return Type: Part-Year (%),Return Type: Nonresident (Number),Return Type: Nonresident (%),Full Year Returns: Number of Returns,Full Year Returns: Total Adjusted Gross Income (thousands of dollars),"Full Year Returns: Total Wages, Salaries, Tips (thousands of dollars)",Full Year Returns: Total Taxable Dividends and Interest (thousands of dollars),Full Year Returns: Total Business Income (thousands of dollars),Full Year Returns: Total Capital Gains (thousands of dollars),Full Year Returns: Total Taxable Pensions (thousands of dollars),"Full Year Returns: Total Schedule E Income (thousands of dollars, this includes: rental real estate, royalties, partnerships, S corporations, and trusts)",Full Year Returns: Total Farm Income (thousands of dollars),"Full Year Returns: Total All Other Income (thousands of dollars, this includes: taxable state income tax refunds, alimony received, unemployment compensation, and other income)",Full Year Returns: Total Adjustments (thousands of dollars),Exception Notes
33,"Jul 01, 2006",2004,Sherman,738,1453,24132,58,1047,1513,4331,18251,1474,221,1256,2,32700,78,1419,2050,5869,24730,1997,300,1701,0.052,0.069,306,0.415,347,0.47,12,0.016,73,0.099,293,0.397,727,0.985,10,0.014,1,0.001,727,23946,13501,1145,503,1560,3692,2978,1570,-117,885,
34,"Jul 01, 2006",2004,Tillamook,10634,20853,396660,975,16092,27009,78904,286607,23363,3300,20112,2,37301,92,1513,2540,7420,26952,2197,310,1891,0.051,0.07,4498,0.423,5046,0.475,127,0.012,958,0.09,5207,0.49,10363,0.975,211,0.02,60,0.006,10363,392278,234993,18977,21060,30597,74697,16267,437,4587,9338,
35,"Jul 01, 2006",2004,Umatilla,26654,59418,979869,1439,40877,58143,164029,755852,61405,10324,51384,2.2,36763,54,1534,2181,6154,28358,2304,387,1928,0.052,0.068,9981,0.374,12230,0.459,381,0.014,4042,0.152,11237,0.422,25992,0.975,554,0.021,108,0.004,25992,968299,749212,26917,33308,29635,117525,39951,-11431,42,16860,
36,"Jul 01, 2006",2004,Union,10253,20958,377323,750,15521,21061,66026,288187,23520,3694,19899,2,36801,73,1514,2054,6440,28108,2294,360,1941,0.053,0.069,4210,0.411,5055,0.493,116,0.011,870,0.085,4781,0.466,9976,0.973,219,0.021,58,0.006,9976,372623,266205,15775,14007,17165,53245,21118,-7978,658,7572,
37,"Jul 01, 2006",2004,Wallowa,3092,6028,105266,594,4129,7108,20631,80511,6495,992,5518,1.9,34045,192,1335,2299,6673,26038,2101,321,1785,0.052,0.069,1255,0.406,1598,0.517,35,0.011,203,0.066,1494,0.483,3007,0.973,69,0.022,16,0.005,3007,103778,60416,7147,5533,15748,18327,5501,-2912,-2777,3205,
38,"Jul 01, 2006",2004,Wasco,9358,19233,338840,918,13657,21280,64579,252127,20482,3215,17329,2.1,36209,98,1459,2274,6901,26942,2189,344,1852,0.051,0.069,3732,0.399,4396,0.47,113,0.012,1113,0.119,4433,0.474,9125,0.975,160,0.017,73,0.008,9125,334860,221222,14523,14049,15541,54301,20190,-1871,4054,7149,
39,"Jul 01, 2006",2004,Washington,207792,437984,12243113,22158,429141,390196,2016878,9644766,816388,75329,742792,2.1,58920,107,2065,1878,9706,46416,3929,363,3575,0.061,0.077,89261,0.43,94436,0.454,2760,0.013,21204,0.102,114054,0.549,200451,0.965,6296,0.03,1045,0.005,200451,12035507,9163119,457950,409049,621252,902077,573553,-10895,109078,189674,
40,"Jul 01, 2006",2004,Wheeler,517,1078,15063,35,659,1420,3402,11759,941,155,785,2.1,29136,68,1274,2747,6580,22745,1820,301,1519,0.052,0.067,169,0.327,308,0.596,7,0.014,33,0.064,227,0.439,504,0.975,9,0.017,4,0.008,504,14986,10168,1115,488,1605,3628,309,-1155,-871,301,
41,"Jul 01, 2006",2004,Yamhill,34489,75301,1596577,4100,57585,67994,290982,1223611,101488,12438,89305,2.2,46292,119,1670,1972,8437,35478,2943,361,2589,0.056,0.073,13260,0.384,16739,0.485,492,0.014,3977,0.115,17799,0.516,33755,0.979,618,0.018,116,0.003,33755,1584610,1097965,69114,53699,109052,164838,108461,-13730,18969,23758,
42,"Jul 01, 2007",2005,Baker,6336,12827,215057,879,9448,16968,41937,159533,12891,2254,10676,2,33942,139,1491,2678,6619,25179,2035,356,1685,0.05,0.067,2563,0.405,3201,0.505,87,0.014,481,0.076,2911,0.459,6155,0.971,143,0.023,38,0.006,6155,212899,137937,13114,5125,20920,40555,8912,-5278,-3758,4629,
43,"Jul 01, 2007",2005,Benton,33601,63053,1795334,6369,69482,91442,281407,1382556,116440,11611,104996,1.9,53431,190,2068,2721,8375,41146,3465,346,3125,0.058,0.076,16370,0.487,14655,0.436,411,0.012,2145,0.064,16570,0.493,32187,0.958,969,0.029,445,0.013,32187,1766970,1166313,82538,58489,149583,240171,88125,-5508,17679,30419,
44,"Jul 01, 2007",2005,California,24688,48176,729084,13203,17316,44724,135021,653173,55191,27581,27664,2,29532,535,701,1812,5469,26457,2236,1117,1121,0.038,0.042,11344,0.459,11128,0.451,752,0.03,1457,0.059,13440,0.544,3872,0.157,4935,0.2,15881,0.643,3872,187400,94383,14269,5352,38506,16621,19154,-451,2810,3245,
