Row_Id,Date of Update,Tax Year,County,Number of Returns,Total Number of Exemptions (thousands of dollars),Total Adjusted Gross Income (thousands of dollars),Total Oregon Adjustments: Additions (thousands of dollars),Total Oregon Adjustments: Federal Tax Subtraction (thousands of dollars),Total Oregon Adjustments: Other Subtractions (thousands of dollars),Total Deductions (thousands of dollars),Total Taxable Income (thousands of dollars),Total Gross Tax (thousands of dollars),Total Credits (thousands of dollars),Total Net Tax (thousands of dollars),Average Number of Exemptions,Average Adjusted Gross Income (dollars),Average Oregon Adjustments: Additions (dollars),Average Oregon Adjustments: Federal Tax Subtraction (dollars),Average Oregon Adjustments: Other Subtractions (dollars),Average Deductions (dollars),Average Taxable Income (dollars),Average Gross Tax (dollars),Average Credits (dollars),Average Net Tax (dollars),Tax as Percent of AGI (%),Tax as Percent of Taxable Income (%),Return Type: Single (Number),Return Type: Single (%),Return Type: Joint (Number),Return Type: Joint  (%),Return Type: Separate (Number),Return Type: Separate (%),Return Type: Head Household (Number),Return Type: Head Household (%),Return Type: Itemized (Number),Return Type: Itemized (%),"Return Type: 
Full-Year 
(Number)","Return Type: 
Full-Year 
(%)",Return Type: Part-Year (Number),Return Type: Part-Year (%),Return Type: Nonresident (Number),Return Type: Nonresident (%),Full Year Returns: Number of Returns,Full Year Returns: Total Adjusted Gross Income (thousands of dollars),"Full Year Returns: Total Wages, Salaries, Tips (thousands of dollars)",Full Year Returns: Total Taxable Dividends and Interest (thousands of dollars),Full Year Returns: Total Business Income (thousands of dollars),Full Year Returns: Total Capital Gains (thousands of dollars),Full Year Returns: Total Taxable Pensions (thousands of dollars),"Full Year Returns: Total Schedule E Income (thousands of dollars, this includes: rental real estate, royalties, partnerships, S corporations, and trusts)",Full Year Returns: Total Farm Income (thousands of dollars),"Full Year Returns: Total All Other Income (thousands of dollars, this includes: taxable state income tax refunds, alimony received, unemployment compensation, and other income)",Full Year Returns: Total Adjustments (thousands of dollars),Exception Notes
567,"Jul 01, 2019",2017,Tillamook,11699,22468,656847,14516,27425,56505,96668,507744,42544,5542,37210,1.9,56146,1241,2344,4830,8263,43401,3637,474,3181,0.057,0.073,5416,0.463,5000,0.427,173,0.015,1107,0.095,5500,0.47,11385,0.973,265,0.023,49,0.004,11385,649935,345350,29932,29796,84558,149182,32709,-52,2305,23845,
568,"Jul 01, 2019",2017,Umatilla,30115,64198,1515365,6513,71841,118430,202904,1173027,95846,13988,82660,2.1,50319,216,2386,3933,6738,38952,3183,465,2745,0.055,0.07,12823,0.426,11662,0.387,498,0.017,5110,0.17,11748,0.39,29281,0.972,665,0.022,169,0.006,29281,1495885,1103473,23951,41922,44330,231198,85971,-13045,1439,23352,
569,"Jul 01, 2019",2017,Union,10921,22018,567887,1562,26386,46718,80579,430605,35323,4862,30705,2,52000,143,2416,4278,7378,39429,3234,445,2812,0.054,0.071,4914,0.45,4855,0.445,147,0.013,1003,0.092,4830,0.442,10627,0.973,235,0.022,59,0.005,10627,561789,375092,14497,13646,26185,111118,38818,-8252,603,9918,
570,"Jul 01, 2019",2017,Wallowa,3317,6233,158652,1630,7234,16683,25312,123595,10121,1418,8748,1.9,47830,491,2181,5030,7631,37261,3051,428,2637,0.055,0.071,1459,0.44,1579,0.476,72,0.022,207,0.062,1549,0.467,3221,0.971,73,0.022,23,0.007,3221,155995,89562,7514,5189,12969,39453,14802,-4709,-4220,4565,
571,"Jul 01, 2019",2017,Wasco,10955,22093,563186,2599,25629,43828,81462,431776,35458,4905,30804,2,51409,237,2340,4001,7436,39414,3237,448,2812,0.055,0.071,4926,0.45,4481,0.409,157,0.014,1389,0.127,4558,0.416,10626,0.97,265,0.024,64,0.006,10626,555971,370216,14636,16722,23368,107131,38654,-2319,-1102,11335,
572,"Jul 01, 2019",2017,Washington,267624,529473,22566316,76605,822632,895547,2952387,18229668,1569658,111943,1461186,2,84321,286,3074,3346,11032,68117,5865,418,5460,0.065,0.08,127533,0.477,109970,0.411,4911,0.018,25076,0.094,128704,0.481,256861,0.96,9081,0.034,1682,0.006,256861,22131048,15723919,855299,597213,1780405,2160046,1170452,-9382,164277,311181,
573,"Jul 01, 2019",2017,Wheeler,514,990,17950,36,1008,2454,3549,14330,1149,186,974,1.9,34922,70,1961,4775,6905,27880,2235,361,1895,0.054,0.068,218,0.424,257,0.5,,,38,0.074,219,0.426,504,0.981,10,0.019,0,0,504,17824,12004,724,525,3832,6215,-711,-1127,-3119,520,"Return Type: Separate (Number) is CS, Return Type: Separate (%) is CS,"
574,"Jul 01, 2019",2017,Yamhill,44238,91169,2856542,16537,117749,185868,418530,2204376,184681,20099,165353,2.1,64572,374,2662,4202,9461,49830,4175,454,3738,0.058,0.075,19181,0.434,19400,0.439,808,0.018,4827,0.109,21287,0.481,43272,0.978,768,0.017,198,0.004,43272,2833573,1875622,82667,82674,170951,441388,213294,-10697,24495,46821,
575,"Jul 01, 2020",2018,Baker,6684,13268,318111,696,13629,33657,47102,250589,20483,2941,17694,2,47593,104,2039,5036,7047,37491,3065,440,2647,0.056,0.071,2911,0.436,3106,0.465,86,0.013,576,0.086,2729,0.408,6489,0.971,154,0.023,41,0.006,6489,314377,195209,12702,6029,31323,83152,17178,-10846,-15571,4800,
576,"Jul 01, 2020",2018,Benton,39000,68644,2883873,7770,99427,191538,336362,2301595,196011,14907,181527,1.8,73946,199,2549,4911,8625,59015,5026,382,4655,0.063,0.079,20846,0.535,15183,0.389,567,0.015,2382,0.061,16684,0.428,36950,0.947,1268,0.033,782,0.02,36950,2836177,1707085,113643,63339,252528,532397,178700,-4114,30250,37650,
577,"Jul 01, 2020",2018,California,44005,83095,1438734,18424,26709,108419,199561,1425900,124965,56339,68889,1.9,32695,419,607,2464,4535,32403,2840,1280,1566,0.048,0.048,21403,0.486,19241,0.437,926,0.021,2419,0.055,22152,0.503,5319,0.121,8173,0.186,30513,0.693,5319,468031,255505,23886,7944,107147,41965,31262,-641,4785,3822,
578,"Jul 01, 2020",2018,Clackamas,192547,373699,17412832,101615,554968,949071,2134790,14197121,1222242,84777,1139705,1.9,90434,528,2882,4929,11087,73733,6348,440,5919,0.065,0.08,89591,0.465,83262,0.432,3181,0.017,16404,0.085,97214,0.505,187593,0.974,4028,0.021,926,0.005,187593,17196504,10884301,563320,568808,1423319,2369768,1596286,-35851,70719,244167,
579,"Jul 01, 2020",2018,Clark Co WA,73243,167361,3673583,2835,144493,91831,409346,3115422,257049,21274,236384,2.3,50156,39,1973,1254,5589,42535,3510,291,3227,0.064,0.076,28175,0.385,36005,0.492,997,0.014,8047,0.11,33862,0.462,2438,0.033,3698,0.05,67107,0.916,2438,144770,100910,10037,5436,10840,17364,1959,-84,301,1994,
580,"Jul 01, 2020",2018,Clatsop,17720,32831,1003131,1622,40726,83077,134555,769443,63710,7100,56883,1.9,56610,92,2298,4688,7593,43422,3595,401,3210,0.057,0.074,8736,0.493,6870,0.388,262,0.015,1842,0.104,7252,0.409,16854,0.951,634,0.036,232,0.013,16854,983944,596179,25980,38810,53962,211904,71137,-2160,5481,17348,
581,"Jul 01, 2020",2018,Columbia,22769,45052,1463805,1463,64698,94271,187211,1139899,94996,9302,86032,2,64289,64,2842,4140,8222,50064,4172,409,3779,0.059,0.075,9982,0.438,10105,0.444,365,0.016,2310,0.101,11129,0.489,22297,0.979,368,0.016,104,0.005,22297,1450888,1032821,23255,29500,53784,261579,55665,-6919,15840,14638,
582,"Jul 01, 2020",2018,Coos,26179,50035,1357343,3386,53481,130050,186492,1027748,84438,10793,74277,1.9,51849,129,2043,4968,7124,39259,3225,412,2837,0.055,0.072,12054,0.46,10683,0.408,458,0.017,2971,0.113,10393,0.397,25282,0.966,730,0.028,167,0.006,25282,1336550,771676,49554,61904,84812,310844,84002,-9183,6362,23421,
583,"Jul 01, 2020",2018,Crook,10358,20684,583703,1774,23715,51923,83009,448994,37088,4212,33074,2,56353,171,2290,5013,8014,43348,3581,407,3193,0.057,0.074,4189,0.404,4913,0.474,197,0.019,1051,0.101,4701,0.454,10062,0.971,243,0.023,53,0.005,10062,574468,356749,21191,16973,40159,130158,31220,-11651,-2310,8023,
584,"Jul 01, 2020",2018,Curry,9984,18106,515659,1907,19771,58255,79395,382430,31595,4178,27605,1.8,51649,191,1980,5835,7952,38304,3165,419,2765,0.054,0.072,4675,0.468,4255,0.426,147,0.015,903,0.09,4285,0.429,9454,0.947,431,0.043,99,0.01,9454,504979,235665,22129,22883,40403,147213,47812,-1420,-1808,7899,
585,"Jul 01, 2020",2018,Deschutes,91045,170801,6895626,34975,228716,458728,891253,5600359,478060,42963,436499,1.9,75739,384,2512,5039,9789,61512,5251,472,4794,0.063,0.078,42839,0.471,39219,0.431,1419,0.016,7537,0.083,44381,0.487,86719,0.952,3644,0.04,682,0.007,86719,6783416,3669954,317979,273783,642253,1209833,812905,-21120,6292,128462,
586,"Jul 01, 2020",2018,Douglas,44169,87123,2388784,6319,92715,209560,322660,1844419,152962,18661,135289,2,54083,143,2099,4745,7305,41758,3463,423,3063,0.057,0.073,19134,0.433,19407,0.439,697,0.016,4908,0.111,17549,0.397,43007,0.974,1010,0.023,152,0.003,43007,2366520,1413824,75177,68645,215778,521093,163533,-21597,-41350,28584,
587,"Jul 01, 2020",2018,Gilliam,781,1508,44659,67,1964,3491,4640,36149,3020,304,2725,1.9,57182,85,2514,4470,5941,46286,3866,389,3490,0.061,0.075,348,0.446,352,0.451,,,80,0.102,276,0.353,757,0.969,24,0.03,,,757,44056,29901,1411,408,2721,7621,3978,-1099,-187,698,"Return Type: Separate (Number) is CS, Return Type: Separate (%) is CS, Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
588,"Jul 01, 2020",2018,Grant,2975,5810,136990,293,6302,13233,20236,111082,9104,1223,7929,2,46047,99,2119,4448,6802,37339,3060,411,2665,0.058,0.071,1278,0.43,1373,0.462,49,0.016,274,0.092,1137,0.382,2906,0.977,69,0.023,,,2906,135639,90716,4637,2774,16131,34347,3811,-5790,-8955,2031,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
589,"Jul 01, 2020",2018,Harney,2923,6035,128123,1132,5075,10773,17985,107353,8836,1230,7666,2.1,43833,387,1736,3686,6153,36727,3023,421,2623,0.06,0.071,1215,0.416,1390,0.476,30,0.01,286,0.098,1068,0.365,2843,0.973,18,0.027,,,2843,126322,85669,3193,3855,18775,27242,4010,-7923,-6331,2169,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
590,"Jul 01, 2020",2018,Hood River,11540,23015,823525,3887,26494,40895,93659,684561,58233,5838,52589,2,71363,337,2296,3544,8116,59321,5046,506,4557,0.064,0.077,5377,0.466,4662,0.404,156,0.014,1334,0.116,4608,0.399,11075,0.96,335,0.029,130,0.011,11075,806287,512034,37953,33171,80248,95125,63598,-4007,3133,14968,
591,"Jul 01, 2020",2018,Idaho,14590,32877,470798,572,15728,43703,54087,422367,34411,3374,31181,2.3,32269,39,1078,2995,3707,28949,2359,231,2137,0.066,0.074,5441,0.373,7695,0.527,160,0.011,1289,0.088,6518,0.447,934,0.064,2240,0.154,11416,0.782,934,52001,28488,1766,1433,12316,8135,4758,-128,-4251,517,
592,"Jul 01, 2020",2018,Jackson,97457,185872,5941737,23071,211344,446861,819680,4650295,389180,40618,350727,1.9,60968,237,2169,4585,8411,47716,3993,417,3599,0.059,0.075,46354,0.476,38451,0.395,1596,0.016,11011,0.113,42000,0.431,94338,0.968,2554,0.026,565,0.006,94338,5861858,3391952,228304,249619,422691,1127920,521500,-18131,38166,100163,
593,"Jul 01, 2020",2018,Jefferson,9601,19888,514742,1073,18653,69726,64630,395196,33241,4432,29177,2.1,53613,112,1943,7262,6732,41162,3462,462,3039,0.057,0.074,4006,0.417,3942,0.411,143,0.015,1507,0.157,3557,0.37,9383,0.977,186,0.019,32,0.003,9383,510759,309473,10320,11432,23165,93521,73089,-2677,-1945,5620,
594,"Jul 01, 2020",2018,Josephine,35628,68609,1972806,3298,69030,163934,267844,1524367,127692,15197,113390,1.9,55372,93,1938,4601,7518,42786,3584,427,3183,0.057,0.074,16269,0.457,14777,0.415,547,0.015,4019,0.113,14439,0.405,34588,0.971,882,0.025,158,0.004,34588,1949882,1025660,61200,72749,241636,410173,137901,-4051,31897,27283,
595,"Jul 01, 2020",2018,Klamath,27093,53990,1344672,3292,53917,118612,178032,1058374,86784,11328,76181,2,49632,122,1990,4378,6571,39065,3203,418,2812,0.057,0.072,11913,0.44,11132,0.411,440,0.016,3592,0.133,9794,0.361,26047,0.961,836,0.031,210,0.008,26047,1322452,866914,34878,37604,95391,279299,67008,-15351,-25209,18081,
596,"Jul 01, 2020",2018,Lake,3029,6033,141269,534,6090,13032,19503,113586,9264,1199,8114,2,46639,176,2011,4303,6439,37500,3058,396,2679,0.057,0.071,1297,0.428,1394,0.46,59,0.019,279,0.092,1063,0.351,2890,0.954,102,0.034,37,0.012,2890,138512,91314,4590,3929,9753,29059,10884,-2988,-5442,2586,
597,"Jul 01, 2020",2018,Lane,164385,299566,10335126,28560,378180,710148,1281352,8153885,684373,68625,618736,1.8,62872,174,2301,4320,7795,49602,4163,418,3764,0.06,0.076,83890,0.51,60812,0.37,2907,0.018,16705,0.102,67371,0.41,158635,0.965,4755,0.029,995,0.006,158635,10208655,6131472,341911,323362,685445,1829461,937053,-19818,125831,146063,
598,"Jul 01, 2020",2018,Lincoln,21248,38922,1169197,2832,46322,117830,175139,862775,71471,8204,63602,1.8,55026,133,2180,5545,8243,40605,3364,386,2993,0.054,0.074,10055,0.473,8532,0.402,385,0.018,2263,0.107,9327,0.439,20359,0.958,781,0.037,108,0.005,20359,1149099,605890,38077,55096,74896,306281,77145,-2164,12479,18602,
599,"Jul 01, 2020",2018,Linn,54620,109447,3088856,3729,130005,206812,406381,2395791,197763,22785,175963,2,56552,68,2380,3786,7440,43863,3621,417,3222,0.057,0.073,24521,0.449,23228,0.425,891,0.016,5951,0.109,23167,0.424,53445,0.978,998,0.018,177,0.003,53445,3065448,2122982,62917,75651,129253,527972,156873,-7497,31268,33970,
600,"Jul 01, 2020",2018,Malheur,10184,22494,436419,1142,16335,31838,60808,356464,28680,6992,22025,2.2,42853,112,1604,3126,5971,35002,2816,687,2163,0.05,0.062,4219,0.414,4273,0.42,105,0.01,1579,0.155,3054,0.3,9733,0.956,328,0.032,123,0.012,9733,428700,295713,9929,12637,33465,81525,28123,-14442,-11749,6502,
601,"Jul 01, 2020",2018,Marion,144719,297635,8713932,14430,337622,547561,1112609,6855484,568663,66515,505328,2.1,60213,100,2333,3784,7688,47371,3929,460,3492,0.058,0.074,66203,0.457,56330,0.389,2378,0.016,19725,0.136,58333,0.403,141620,0.979,2612,0.018,487,0.003,141620,8639980,5719270,196841,226260,391354,1489433,646754,-18074,92583,104442,
602,"Jul 01, 2020",2018,Morrow,4551,10210,240457,225,10017,14036,26582,194797,15979,2155,13906,2.2,52836,50,2201,3084,5841,42803,3511,474,3056,0.058,0.071,1814,0.399,1977,0.434,50,0.011,709,0.156,1454,0.319,4449,0.978,102,0.022,,,4449,238544,183191,3550,2806,11056,33296,10474,-4248,855,2435,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
603,"Jul 01, 2020",2018,Multnomah,384564,662967,29943837,94347,1025834,1205389,3345147,24852532,2140679,155727,1990510,1.7,77864,245,2668,3134,8699,64625,5567,405,5176,0.066,0.08,222884,0.58,118573,0.308,7917,0.021,35040,0.091,154389,0.401,365850,0.951,15633,0.041,3081,0.008,365850,29277269,19996836,1053291,1163997,2079433,3056160,2145308,-7382,242915,453287,
604,"Jul 01, 2020",2018,Other,91451,172127,3386990,46540,78559,376611,415524,3048615,265649,24517,241786,1.9,37036,509,859,4118,4544,33336,2905,268,2644,0.071,0.079,45118,0.493,39469,0.432,2834,0.031,3983,0.044,38712,0.423,14938,0.163,25217,0.276,51296,0.561,14938,996354,633667,66871,22131,173510,110793,33764,-1240,-33231,9912,
605,"Jul 01, 2020",2018,Other Washington,46886,96737,1805198,4731,54408,114364,180008,1630733,136677,8194,128808,2.1,38502,101,1160,2439,3839,34781,2915,175,2747,0.071,0.079,20397,0.435,21791,0.465,729,0.016,3952,0.084,19424,0.414,3599,0.077,7312,0.156,35975,0.767,3599,203582,133350,11268,5183,15970,30387,9616,-395,548,2345,
606,"Jul 01, 2020",2018,Polk,35434,72382,2242877,3386,91104,171337,312883,1741810,144692,14720,130574,2,63297,96,2571,4835,8830,49157,4083,415,3685,0.058,0.075,15417,0.435,15618,0.441,581,0.016,3790,0.107,16231,0.458,34530,0.974,756,0.021,148,0.004,34530,2222702,1452774,51313,58111,115079,459386,126465,-7440,-5000,27986,
607,"Jul 01, 2020",2018,Sherman,798,1539,48528,183,1877,3812,5413,39262,3290,297,3000,1.9,60812,230,2353,4777,6784,49200,4123,373,3760,0.062,0.076,383,0.48,355,0.445,,,60,0.075,275,0.345,,,,,,,,48008,25512,1453,673,4391,8959,7017,1851,-377,1471,"Return Type: Separate (Number) is CS, Return Type: Separate (%) is CS, Return Type: 
Full-Year 
(Number) is <798, Return Type: 
Full-Year 
(%) is NA , Return Type: Part-Year (Number) is NA , Return Type: Part-Year (%) is NA , Return Type: Nonresident (Number) is NA , Return Type: Nonresident (%) is NA ,"
608,"Jul 01, 2020",2018,Tillamook,11963,22756,663373,1877,26765,61307,95852,498008,41037,4821,36406,1.9,55452,157,2237,5125,8012,41629,3430,403,3043,0.055,0.073,5552,0.464,5034,0.421,221,0.018,1152,0.096,5277,0.441,11629,0.972,285,0.024,49,0.004,11629,656112,368838,23338,29084,45124,163811,31858,-2061,8137,12017,
609,"Jul 01, 2020",2018,Umatilla,30548,63982,1613836,3722,66756,122116,196992,1274531,104610,13962,91446,2.1,52830,122,2185,3998,6449,41722,3424,457,2994,0.057,0.072,13212,0.432,11712,0.383,431,0.014,5172,0.169,10921,0.358,29712,0.973,684,0.022,152,0.005,29712,1592965,1159012,26353,44579,54262,251647,91241,-16203,2037,19963,
610,"Jul 01, 2020",2018,Union,11074,21998,604085,1074,24630,49913,75852,469443,38579,4812,34009,2,54550,97,2224,4507,6850,42392,3484,435,3071,0.056,0.072,5039,0.455,4813,0.435,202,0.018,1012,0.091,4564,0.412,10756,0.971,265,0.024,53,0.005,10756,597296,392514,15645,12698,29247,119573,42284,-8921,2746,8489,
611,"Jul 01, 2020",2018,Wallowa,3392,6425,168329,445,7007,18701,24881,131118,10734,1404,9389,1.9,49625,131,2066,5513,7335,38655,3165,414,2768,0.056,0.072,1496,0.441,1613,0.476,59,0.017,224,0.066,1459,0.43,3305,0.974,87,0.026,,,3305,166455,95866,7427,6101,15859,44521,11699,-6315,-4898,3806,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is CP,"
612,"Jul 01, 2020",2018,Wasco,11203,22198,612511,1115,24513,46942,80715,476442,39277,4983,34534,2,54674,100,2188,4190,7205,42528,3506,445,3083,0.056,0.072,5098,0.455,4506,0.402,163,0.015,1427,0.127,4339,0.387,10847,0.968,284,0.025,72,0.006,10847,602188,392229,15594,15791,34850,115998,37642,-2018,1387,9284,
613,"Jul 01, 2020",2018,Washington,272820,531907,23938576,48513,793558,979796,2880944,19594688,1688726,110874,1581340,1.9,87745,178,2909,3591,10560,71823,6190,406,5796,0.066,0.081,131771,0.483,110663,0.406,4866,0.018,25375,0.093,122912,0.451,262170,0.961,8864,0.032,1786,0.007,262170,23492649,16762982,989949,600750,1533008,2363416,1283049,-12734,246339,274110,
614,"Jul 01, 2020",2018,Wheeler,525,1021,19022,41,948,2597,3716,15690,1265,197,1077,1.9,36233,78,1806,4946,7079,29885,2409,375,2051,0.057,0.069,221,0.421,265,0.505,,,39,0.074,196,0.373,,,,,,,,18545,12523,792,967,1664,6801,802,-1815,-2724,465,"Return Type: Separate (Number) is CS, Return Type: Separate (%) is CS, Return Type: 
Full-Year 
(Number) is <525, Return Type: 
Full-Year 
(%) is NA , Return Type: Part-Year (Number) is NA , Return Type: Part-Year (%) is NA , Return Type: Nonresident (Number) is NA , Return Type: Nonresident (%) is NA ,"
615,"Jul 01, 2020",2018,Yamhill,45060,91461,3034777,7094,113126,196071,408849,2377627,199361,19963,180186,2,67350,157,2511,4351,9073,52766,4424,443,3999,0.059,0.076,19863,0.441,19578,0.434,733,0.016,4861,0.108,20421,0.453,44070,0.978,788,0.017,202,0.004,44070,3009969,1972480,93587,82913,175912,469831,237914,-15830,32283,39122,
616,"Jul 01, 2021",2019,Baker,6893,13544,320431,859,14059,33724,47903,254182,20691,2961,17863,2,46487,125,2040,4893,6950,36875,3002,430,2592,0.056,0.07,3052,0.443,3134,0.455,111,0.016,592,0.086,2774,0.402,6688,0.97,161,0.023,44,0.006,6688,316074,202076,13561,3931,29737,88012,11599,-10455,-17290,5097,
617,"Jul 01, 2021",2019,Benton,39745,69569,2998742,7051,104525,199239,356506,2388847,203771,15058,189162,1.8,75450,177,2630,5013,8970,60104,5127,379,4759,0.063,0.079,21348,0.537,15284,0.385,632,0.016,2466,0.062,16733,0.421,37848,0.952,1259,0.032,638,0.016,37848,2954515,1775235,131695,64827,254666,568726,194190,-4276,10259,40807,
618,"Jul 01, 2021",2019,California,45432,84050,1378454,15090,28288,106167,206438,1342838,116609,50484,66395,1.9,30341,332,623,2337,4544,29557,2567,1111,1461,0.048,0.049,22650,0.499,19356,0.426,933,0.021,2439,0.054,22250,0.49,5691,0.125,8506,0.187,31235,0.688,5691,393107,258601,23414,12649,27029,44886,30656,-374,577,4330,
619,"Jul 01, 2021",2019,Clackamas,198018,378829,17802174,95016,583567,917923,2199476,14569706,1251220,83301,1170185,1.9,89902,480,2947,4636,11108,73578,6319,421,5910,0.066,0.08,94066,0.475,83666,0.423,3616,0.018,16552,0.084,98063,0.495,192885,0.974,4159,0.021,974,0.005,192885,17586091,11491210,681948,567263,1090424,2483895,1621842,-35832,-66414,248244,
620,"Jul 01, 2021",2019,Clark Co WA,78662,174246,3863886,3697,156663,63551,425467,3312184,273391,22971,251073,2.2,49120,47,1992,808,5409,42107,3476,292,3192,0.065,0.076,31680,0.403,37247,0.474,1283,0.016,8414,0.107,34587,0.44,2958,0.038,4075,0.052,71629,0.911,2958,176565,119850,8394,5054,12546,18950,12816,-48,1663,2659,
621,"Jul 01, 2021",2019,Clatsop,18430,33442,1048541,2456,43383,83221,145023,805789,66617,7282,59629,1.8,56893,133,2354,4516,7869,43722,3615,395,3235,0.057,0.074,9327,0.506,6871,0.373,349,0.019,1871,0.102,7431,0.403,17593,0.955,609,0.033,228,0.012,17593,1027621,631747,28714,43064,58761,219813,70862,-3643,-3388,18309,
622,"Jul 01, 2021",2019,Columbia,23461,45491,1505745,1397,68003,93539,196017,1172167,97555,9248,88629,1.9,64181,60,2899,3987,8355,49962,4158,394,3778,0.059,0.076,10629,0.453,10080,0.43,395,0.017,2349,0.1,11144,0.475,22908,0.976,467,0.02,86,0.004,22908,1492037,1081641,27155,31310,39523,267754,62005,-6727,4199,14823,
623,"Jul 01, 2021",2019,Coos,27153,50886,1388887,2789,56597,131855,192159,1050281,86040,10856,75796,1.9,51150,103,2084,4856,7077,38680,3169,400,2792,0.055,0.072,12916,0.476,10718,0.395,520,0.019,2987,0.11,10522,0.388,26241,0.966,762,0.028,150,0.006,26241,1369484,813747,54045,64999,67709,323451,80871,-8419,-2776,24142,
624,"Jul 01, 2021",2019,Crook,10929,21473,640153,1600,25472,52737,90889,497142,41192,4334,37035,2,58574,146,2331,4825,8316,45488,3769,397,3389,0.058,0.074,4571,0.418,5030,0.46,232,0.021,1092,0.1,4900,0.448,10654,0.975,238,0.022,37,0.003,10654,633150,393771,22090,17008,43256,139056,44673,-11551,-6709,8445,
625,"Jul 01, 2021",2019,Curry,10361,18560,515177,3591,21106,58625,80686,380847,31342,3726,27781,1.8,49723,347,2037,5658,7788,36758,3025,360,2681,0.054,0.073,4977,0.48,4341,0.419,145,0.014,895,0.086,4371,0.422,9807,0.947,456,0.044,98,0.009,9807,505002,245417,25502,22481,38225,156895,31278,-1198,-5743,7854,
626,"Jul 01, 2021",2019,Deschutes,95876,176918,7478910,34199,246849,474419,936285,6100783,522049,41925,481545,1.8,78006,357,2575,4948,9766,63632,5445,437,5023,0.064,0.079,46341,0.483,40109,0.418,1683,0.018,7695,0.08,45695,0.477,91483,0.954,3686,0.038,707,0.007,91483,7320745,4021827,346936,277363,771932,1291748,827084,-23916,-60368,131861,
627,"Jul 01, 2021",2019,Douglas,45977,89180,2381392,6993,97389,208731,335337,1822571,149586,19445,131090,1.9,51795,152,2118,4540,7294,39641,3254,423,2851,0.055,0.072,20584,0.448,19383,0.422,834,0.018,5146,0.112,17887,0.389,44867,0.976,973,0.021,137,0.003,44867,2361040,1490472,84639,60741,131382,542876,106617,-22493,-4838,28357,
628,"Jul 01, 2021",2019,Gilliam,828,1598,44741,56,2093,3583,5043,35689,2946,324,2633,1.9,54035,67,2528,4327,6091,43103,3558,392,3180,0.059,0.074,380,0.459,362,0.437,,,86,0.104,286,0.345,801,0.967,27,0.033,,,801,44095,30732,1266,515,2153,7941,3410,-1068,-70,785,"Return Type: Separate (Number) is CS, Return Type: Separate (%) is CS, Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is ,"
629,"Jul 01, 2021",2019,Grant,3024,5846,133727,287,6423,13015,20973,109211,8847,1236,7680,1.9,44222,95,2124,4304,6936,36115,2926,409,2540,0.057,0.07,1320,0.437,1362,0.45,43,0.014,297,0.098,1178,0.39,2946,0.974,78,0.026,,,2946,132377,91680,5330,3211,10040,34722,5242,-7093,-8533,2223,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is ,"
630,"Jul 01, 2021",2019,Harney,2964,6080,121240,1181,5362,10808,18415,99422,8027,1246,6845,2.1,40904,398,1809,3646,6213,33543,2708,420,2309,0.056,0.069,1279,0.432,1378,0.465,30,0.01,277,0.093,1075,0.363,2887,0.974,77,0.026,,,2887,119764,89532,3662,4007,9212,27938,4466,-8817,-7986,2251,"Return Type: Nonresident (Number) is CP, Return Type: Nonresident (%) is ,"
631,"Jul 01, 2021",2019,Hood River,11761,22745,829994,3769,27932,40690,106165,684217,57812,5711,52307,1.9,70572,320,2375,3460,9027,58177,4916,486,4448,0.063,0.076,5659,0.481,4634,0.394,163,0.014,1296,0.11,4645,0.395,11346,0.965,298,0.025,117,0.01,11346,796795,517500,39938,35249,59205,103506,68601,-2635,-9459,15111,
632,"Jul 01, 2021",2019,Idaho,15473,34296,519946,2385,17295,37303,62985,477624,39363,3534,35966,2.2,33603,154,1118,2411,4071,30868,2544,228,2325,0.069,0.075,5998,0.388,7951,0.514,180,0.012,1341,0.087,6768,0.437,1113,0.072,2400,0.155,11960,0.773,1113,72728,33104,11049,2182,13392,9994,4248,-71,-243,927,
633,"Jul 01, 2021",2019,Jackson,100746,188465,6069595,30158,224237,454360,855436,4742314,395277,41178,356319,1.9,60247,299,2226,4510,8491,47072,3924,409,3537,0.059,0.075,49270,0.489,38504,0.382,1805,0.018,11127,0.11,42285,0.42,97406,0.967,2771,0.028,569,0.006,97406,5982884,3570469,250032,250298,379663,1164924,508896,-17928,-18838,104631,
634,"Jul 01, 2021",2019,Jefferson,9876,20168,469610,1005,19759,59955,69310,345770,28064,4154,24239,2,47551,102,2001,6071,7018,35011,2842,421,2454,0.052,0.07,4194,0.425,3983,0.403,152,0.015,1539,0.156,3657,0.37,9676,0.98,162,0.016,38,0.004,9676,465501,319591,10839,12601,22065,96352,21215,-2087,-9322,5753,
